Ano;Água Rasa;Alto de Pinheiros;Anhanguera;Aricanduva;Artur Alvim;Barra Funda;Bela Vista;Belém;Bom Retiro;Brás;Brasilândia;Butantã;Cachoeirinha;Cambuci;Campo Belo;Campo Grande;Campo Limpo;Cangaiba;Capão Redondo;Carrão;Casa Verde;Cidade Ademar;Cidade Dutra;Cidade Lider;Cidade Tiradentes;Consolação;Cursino;Ermelino Matarazzo;Freguesia do Ó;Grajaú;Guaianases;Iguatemi;Ipiranga;Itaim Bibi;Itaim Paulista;Itaquera;Jabaquara;Jaguara;Jaguaré;Jaraguá;Jardim Ângela;Jardim Helena;Jardim Paulista;Jardim São Luís;Jaçanã;José Bonifácio (distrito da capital);Lajeado;Lapa;Liberdade;Limão;Mandaqui;Marsilac;Moema;Mooca;Morumbi;Parelheiros;Pari;Parque do Carmo;Pedreira (distrito da capital);Penha;Perdizes;Perus;Pinheiros;Pirituba;Ponte Rasa;Raposo Tavares;República;Rio Pequeno;Sacomã;Santa Cecília;Santana;Santo Amaro;São Domingos;São Lucas;São Mateus;São Miguel;São Rafael;Sapopemba;Saúde;Sé;Socorro (distrito da capital);Tatuapé;Tremembé (distrito da capital);Tucuruvi;Vila Andrade;Vila Curuçá;Vila Formosa;Vila Guilherme;Vila Jacuí;Vila Leopoldina;Vila Maria;Vila Mariana;Vila Matilde;Vila Medeiros;Vila Prudente;Vila Sônia
2000;137,64;88,6;121,04;210,38;203,99;227,79;165,89;225,17;241,67;250,49;310,31;159,4;301,37;169,6;114,47;203,55;214,06;207,13;275,4;143,97;137,59;321,21;259,09;212,66;314,55;101,29;206,34;230,82;181,78;285,86;304,83;280,3;137,18;45,16;252,49;247,93;226,31;124,38;173,59;204,53;325,09;257,17;25,78;275,51;237,07;204,3;267,48;150,84;152,18;246,81;157,43;388,28;47,67;134,48;184,46;296,8;138,04;261,4;236,71;173,47;74,83;117,04;102,9;170,17;164,27;187,87;246,78;150,84;208,36;177,78;110,55;155,15;171,72;191,96;294;300,55;282,27;274,62;83,05;341,86;177,03;104,73;183,26;128,66;180,7;276,05;157,23;182,52;216,14;85,76;199,98;106,67;212,24;247,55;124,96;131,53
2001;142,16;104,17;94,48;162,04;243,09;180,75;118,61;259,68;163,28;297,9;320,88;104,21;273,59;145,09;125,15;162,35;192,86;209,49;273,49;159,43;210,26;317,69;266,12;162,72;263,98;84,12;205,49;188,59;202,21;324,99;250,86;256,11;195,94;93,14;232,76;200,35;199,28;45,64;140,44;219,06;312,11;267,42;47,7;266,11;218,43;180,75;264,74;102,11;119,34;220,5;127,2;247,26;73,07;101,48;172,09;375,23;77,62;228,69;250,21;168,85;74,32;217,2;93,09;225,21;140,12;162,41;215,08;174,17;206,02;142,9;105,3;138,88;133,56;169,28;256,67;288,94;257,45;277,2;79,88;360,29;209,38;75,66;190,11;138,36;135,03;254,4;164,52;140,91;184,66;134,38;219,47;77,23;113,5;252,38;159,84;107,33
2002;117,54;49,55;106,72;170,4;188,11;224,37;149,37;165,31;317,65;260,28;251,91;131,4;300,38;101,35;104,48;130,82;185,28;183,88;257,85;111,36;186,8;256,64;220,23;139,93;221,66;72,64;155,86;163,83;193,62;300,9;275,54;307,2;124,25;55,35;216,09;223,69;206,97;161,27;138,4;220,98;283,74;223,79;32,87;289,24;206,01;160,13;226,44;112,64;100,45;207,86;135,87;319,15;34,12;104,59;137,78;303,67;153,05;252,51;221,1;113,59;64,98;204,66;88,14;163,47;141,65;142,83;226,77;130,97;167,61;156,07;97,51;138,26;190,18;140,39;254,17;297,7;241,23;248,71;97,25;329,79;129,04;106,36;163,56;200,86;145,25;235,19;159,28;193,28;160,91;129,73;181,08;55,26;168;241,29;165,79;102,24
2003;125,92;36,12;224,24;114,24;152,3;178,65;103,65;140,25;202,64;305,87;215,89;142,22;278,63;99,02;170,94;115,05;168,92;148,12;223,99;95,22;194,42;229,64;233,32;161,66;201,91;56,28;163,97;163,63;177,15;282,47;303,33;224,05;147,48;91,29;237,54;191,82;189,2;174,56;112,79;207,82;250,64;183,65;39,98;259,14;254,39;139,89;214,72;64,19;146,83;202,08;147,53;248,76;50,79;127,15;210,19;313,41;169,27;216,32;210,01;104,12;61,58;178,26;88,09;182,66;187,24;169,96;274,4;152,24;207,83;138,11;89,48;122,36;128,87;134,48;222,12;232,5;201,27;228,73;83,81;240,12;161,75;77,94;203,55;111,79;137,73;172,94;121,89;128,44;176,18;134,72;212,8;81,34;111,48;230;142,85;112,16
2004;93,31;44,22;90,39;128,57;161,97;199,82;106,33;144,8;187,48;269,65;249,6;87,43;227,42;135,28;140,96;96,28;181,32;163,07;188,35;118,75;125,36;238,1;204,01;167,96;147,94;60,55;97,49;180,58;152,41;244,39;204,6;191,29;135,26;50,57;184,98;146,34;165,09;176,24;105,5;205,26;231,75;198,39;54,2;223,29;187,89;141,17;158,78;79,96;119,73;133,18;139,81;106,76;46,21;91,23;154,78;239,9;258,92;172,34;187,72;145,67;61,14;276,27;68,41;132,95;130,32;136,79;162,69;123,58;118,68;83,01;73,79;136,98;139,89;151,75;149,47;247,32;175,84;172,27;63;164,88;140,68;111,81;176,15;124,89;155,12;193,41;138,92;168,62;139,61;74,25;152,77;45,25;117,67;130,22;160,73;130,43
2005;75,24;37,58;90,99;95,61;132,85;132,1;105,01;127,49;81,96;283,45;200,65;38,22;177,44;198,11;124,18;89,94;136,87;133,1;136,08;79,01;129,17;151,06;145,5;101,5;132,04;39,82;120,12;126,88;117,24;177,23;137,2;159,88;134,76;75,01;138,72;155,31;128,16;83;162,15;157,41;178,95;159,69;46,67;161,68;169,87;100,43;122,67;90,29;126,97;119,88;92,7;142,65;75,04;89,58;123,14;208,01;109,19;176,51;135,23;133,93;63,6;176,03;87,83;114,18;125,96;133,89;179,81;123,44;111,31;100,29;70,04;136,25;83,9;78,2;164,52;200,56;140,83;145,17;75,06;219,22;119,09;72,54;180,02;100,51;142,96;159,81;91,11;110,04;97,17;35,84;148,27;73,47;98,03;119,27;81,99;96,88
2006;79,66;15,34;101,29;77,77;140,04;43,56;92,23;173,05;132,74;191,31;194,46;70,98;191,93;119,88;58,26;71,28;114,59;115,31;158,7;106,49;171,57;137,34;139,37;105,82;113,97;59;94,14;144;130,49;166,24;124,33;150,15;110,93;52,95;129,01;132,17;137,43;83,86;57,22;159,25;160,52;116,6;39,26;148,1;151,88;85,82;109,62;79,37;75,39;202,48;118,64;179,08;16,54;88,01;92,76;208,57;196,53;164,79;136,5;87,88;43,06;168,1;58,51;107,55;60,78;98,24;108,02;113,92;117,93;54,9;81,43;95,44;84,59;69,98;144,29;191,5;130,06;134,35;49,69;215,18;120,93;64,34;141,7;97,98;100,29;140,66;108,26;98,07;116,39;77,89;99,96;54,25;107,18;110,21;76,27;70,07
2007;103,29;46,97;106,18;115,39;93,83;86,28;94,93;169,31;77,39;149,74;159,48;60,09;176,73;90,15;98,71;80,6;114,36;116,12;124,17;106,42;175,62;125,87;127,7;114,65;120,96;48,59;76,85;107,53;104,95;156,12;155,84;161,14;110,62;59,27;131,61;125,08;119,73;121,14;90,52;164,37;148,07;161,07;70,96;130,72;124,79;103,66;111,36;63,27;111,96;146,81;93,81;108,03;45,09;63,67;148;133,09;175,69;137,04;154,87;102,82;28,5;202,34;68,09;118,4;101,73;111,76;135,17;73,63;106,11;119;69,91;85,08;81,9;87,3;143,7;152,03;109,75;115,73;51,83;89,02;122,83;67,53;141,65;73,11;75,2;115,89;76,13;74,72;83,1;91,99;115,07;54;116,5;138,24;61,76;99,34
2008;69,46;23,98;97,5;73,85;141,46;128,04;93,84;139,14;142,1;128,02;155,55;76,49;155,67;97,02;100,36;96,12;124,45;123,2;129,84;74,83;88,1;120,59;77,75;121,32;135,61;43,2;85,23;117,65;99,72;109,18;96,47;127,78;95,8;20,64;133,09;122,08;109,68;61,25;83,95;135,5;134,11;127,15;35,23;146,55;109,82;89,14;119,77;36,77;61,58;147,95;114,4;36,25;16,26;67,01;76,69;169,73;69,22;149,53;112,97;108,05;36,77;128,62;58,21;111,9;103,23;87,17;142,31;64,15;101,31;85,3;81,63;69,78;79,21;111,23;152,33;142,34;93,59;114,55;49,05;185,71;108,27;70,62;141,71;76,7;79,21;92,68;93,48;97,28;95,05;72,76;137,71;53,77;96,66;120,36;112,08;54,38
2009;120,66;48,99;115,12;92,3;132,57;63,32;51,97;129,72;65;188;198,47;65,56;141,82;86,3;61,2;71,36;124,24;159,84;120,57;74,78;106,15;131,62;123,9;119,19;142,43;75,86;99,23;78,73;146,87;122;141,35;138,8;92,61;40,7;127,32;142,68;98,35;86,73;127,4;144,03;132,14;126,62;34,95;145,34;168,15;88,46;120,02;62,78;60,95;101,84;97,92;72,94;36,26;35,12;62,09;116,49;102,28;113,59;107,05;103,46;36,51;190,63;43,55;115,91;98,47;114,41;139,85;102,25;101,17;101,59;72,31;69,5;159,99;111,83;130,07;173,38;137,82;142,96;48,75;64,35;144,12;77,34;127,17;80,38;69,88;123,33;70,72;68,31;107,17;23,46;111,11;48,87;94,26;117,76;106,44;83,06
